Steps,Bet,Reward,Points,Average
1,1,0,999,0.0
2,2,4,1001,2.0
3,2,0,999,1.3333333333333333
4,4,4,999,2.0
5,4,0,995,1.6
6,8,32,1019,6.666666666666667
7,8,0,1011,5.714285714285714
8,8,8,1011,6.0
9,8,8,1011,6.222222222222222
10,8,0,1003,5.6
11,16,16,1003,6.545454545454546
12,16,32,1019,8.666666666666666
13,64,0,955,8.0
14,64,0,891,7.428571428571429
15,16,32,907,9.066666666666666
16,16,16,907,9.5
17,16,0,891,8.941176470588236
18,32,0,859,8.444444444444445
19,128,0,731,8.0
20,256,0,475,7.6
21,2,0,473,7.238095238095238
22,1,0,472,6.909090909090909
23,128,0,344,6.608695652173913
24,1,0,343,6.333333333333333
25,1,0,342,6.08
26,1,0,341,5.846153846153846
27,1,1,341,5.666666666666667
28,1,1,341,5.5
29,1,0,340,5.310344827586207
30,1,0,339,5.133333333333334
31,1,1,339,5.0
32,1,8,346,5.09375
33,1,0,345,4.9393939393939394
34,1,2,346,4.852941176470588
35,1,0,345,4.714285714285714
36,1,0,344,4.583333333333333
37,1,0,343,4.45945945945946
38,1,0,342,4.342105263157895
39,1,4,345,4.333333333333333
40,1,0,344,4.225
41,1,0,343,4.121951219512195
42,1,0,342,4.023809523809524
43,1,0,341,3.9302325581395348
44,1,1,341,3.8636363636363638
45,1,0,340,3.7777777777777777
46,1,0,339,3.6956521739130435
47,1,0,338,3.617021276595745
48,1,0,337,3.5416666666666665
49,1,0,336,3.4693877551020407
50,1,2,337,3.44
51,1,1,337,3.392156862745098
52,1,0,336,3.326923076923077
53,1,0,335,3.2641509433962264
54,1,0,334,3.2037037037037037
55,1,0,333,3.1454545454545455
56,1,0,332,3.0892857142857144
57,1,0,331,3.0350877192982457
58,1,0,330,2.9827586206896552
59,1,0,329,2.9322033898305087
60,1,0,328,2.8833333333333333
61,1,0,327,2.8360655737704916
62,1,1,327,2.806451612903226
63,1,0,326,2.761904761904762
64,1,0,325,2.71875
65,1,2,326,2.707692307692308
66,1,0,325,2.6666666666666665
67,1,0,324,2.626865671641791
68,128,0,196,2.588235294117647
69,1,0,195,2.550724637681159
70,1,0,194,2.5142857142857142
71,1,2,195,2.507042253521127
72,1,0,194,2.4722222222222223
73,1,0,193,2.4383561643835616
74,1,0,192,2.4054054054054053
75,1,1,192,2.3866666666666667
76,1,1,192,2.3684210526315788
77,1,1,192,2.3506493506493507
78,1,0,191,2.3205128205128207
79,1,0,190,2.2911392405063293
80,1,0,189,2.2625
81,1,0,188,2.234567901234568
82,1,0,187,2.207317073170732
83,4,0,183,2.180722891566265
84,1,2,184,2.1785714285714284
85,1,0,183,2.152941176470588
86,1,1,183,2.13953488372093
87,1,8,190,2.206896551724138
88,1,4,193,2.227272727272727
89,1,1,193,2.2134831460674156
90,1,2,194,2.2111111111111112
91,1,0,193,2.1868131868131866
92,1,0,192,2.1630434782608696
93,1,1,192,2.150537634408602
94,1,0,191,2.127659574468085
95,1,0,190,2.1052631578947367
96,2,0,188,2.0833333333333335
97,1,0,187,2.0618556701030926
98,1,2,188,2.061224489795918
99,1,0,187,2.04040404040404
100,1,0,186,2.02
101,1,0,185,2.0
102,1,0,184,1.9803921568627452
103,1,0,183,1.9611650485436893
104,8,0,175,1.9423076923076923
105,1,0,174,1.9238095238095239
106,1,0,173,1.9056603773584906
107,1,0,172,1.8878504672897196
108,1,0,171,1.8703703703703705
109,1,0,170,1.853211009174312
110,1,1,170,1.8454545454545455
111,1,2,171,1.8468468468468469
112,1,0,170,1.8303571428571428
113,1,0,169,1.8141592920353982
114,1,0,168,1.7982456140350878
115,1,2,169,1.8
116,1,2,170,1.8017241379310345
117,1,0,169,1.7863247863247864
118,1,8,176,1.8389830508474576
119,2,0,174,1.8235294117647058
120,1,2,175,1.825
121,2,0,173,1.8099173553719008
122,1,2,174,1.8114754098360655
123,1,0,173,1.7967479674796747
124,1,0,172,1.782258064516129
125,8,0,164,1.768
126,1,0,163,1.753968253968254
127,1,0,162,1.7401574803149606
128,1,4,165,1.7578125
129,1,1,165,1.751937984496124
130,1,0,164,1.7384615384615385
131,1,4,167,1.7557251908396947
132,1,1,167,1.75
133,1,0,166,1.736842105263158
134,1,1,166,1.7313432835820894
135,1,0,165,1.7185185185185186
136,1,0,164,1.7058823529411764
137,1,0,163,1.6934306569343065
138,1,0,162,1.681159420289855
139,1,0,161,1.669064748201439
140,1,0,160,1.6571428571428573
141,1,1,160,1.6524822695035462
142,1,0,159,1.6408450704225352
143,1,0,158,1.6293706293706294
144,1,0,157,1.6180555555555556
145,64,0,93,1.606896551724138
146,1,0,92,1.595890410958904
147,1,0,91,1.5850340136054422
148,1,0,90,1.5743243243243243
149,1,0,89,1.563758389261745
150,1,1,89,1.56
151,1,4,92,1.576158940397351
152,1,0,91,1.5657894736842106
153,1,0,90,1.5555555555555556
154,1,0,89,1.5454545454545454
155,1,0,88,1.5354838709677419
156,1,0,87,1.5256410256410255
157,1,0,86,1.515923566878981
158,1,0,85,1.5063291139240507
159,1,4,88,1.5220125786163523
160,1,0,87,1.5125
161,1,1,87,1.5093167701863355
162,1,0,86,1.5
163,1,0,85,1.49079754601227
164,1,0,84,1.4817073170731707
165,1,2,85,1.4848484848484849
166,1,0,84,1.4759036144578312
167,1,1,84,1.473053892215569
168,1,1,84,1.4702380952380953
169,1,0,83,1.4615384615384615
170,1,0,82,1.4529411764705882
171,1,8,89,1.4912280701754386
172,1,0,88,1.4825581395348837
173,1,0,87,1.4739884393063585
174,2,0,85,1.4655172413793103
175,1,0,84,1.457142857142857
176,1,0,83,1.4488636363636365
177,1,0,82,1.4406779661016949
178,1,2,83,1.4438202247191012
179,1,0,82,1.4357541899441342
180,1,0,81,1.4277777777777778
181,16,16,81,1.5082872928176796
182,1,0,80,1.5
183,1,0,79,1.4918032786885247
184,1,0,78,1.483695652173913
185,1,1,78,1.481081081081081
186,1,0,77,1.4731182795698925
187,1,0,76,1.46524064171123
188,1,0,75,1.4574468085106382
189,1,1,75,1.4550264550264551
190,1,0,74,1.4473684210526316
191,1,0,73,1.4397905759162304
192,1,0,72,1.4322916666666667
193,1,0,71,1.4248704663212435
194,1,0,70,1.4175257731958764
195,1,0,69,1.4102564102564104
196,1,0,68,1.403061224489796
197,1,2,69,1.4060913705583757
198,1,0,68,1.398989898989899
199,1,0,67,1.3919597989949748
200,1,0,66,1.385
201,1,2,67,1.3880597014925373
202,1,0,66,1.381188118811881
203,1,0,65,1.374384236453202
204,1,0,64,1.3676470588235294
205,1,2,65,1.3707317073170733
206,1,1,65,1.3689320388349515
207,1,0,64,1.3623188405797102
208,1,0,63,1.3557692307692308
209,1,0,62,1.3492822966507176
210,1,2,63,1.3523809523809525
211,1,0,62,1.3459715639810426
212,1,2,63,1.349056603773585
213,4,0,59,1.3427230046948357
214,8,0,51,1.3364485981308412
215,1,0,50,1.330232558139535
216,1,0,49,1.3240740740740742
217,1,0,48,1.3179723502304148
218,1,0,47,1.311926605504587
219,1,0,46,1.3059360730593608
220,1,1,46,1.3045454545454545
221,1,0,45,1.2986425339366516
222,1,0,44,1.2927927927927927
223,32,0,12,1.2869955156950672
224,1,2,13,1.2901785714285714
225,1,4,16,1.3022222222222222
226,4,8,20,1.331858407079646
227,1,1,20,1.330396475770925
228,1,0,19,1.3245614035087718
229,1,0,18,1.3187772925764192
230,4,4,18,1.3304347826086957
231,4,0,14,1.3246753246753247
232,1,0,13,1.3189655172413792
233,1,0,12,1.3133047210300428
234,1,4,15,1.3247863247863247
235,1,0,14,1.3191489361702127
236,1,0,13,1.3135593220338984
237,1,0,12,1.3080168776371308
238,1,0,11,1.3025210084033614
239,4,0,7,1.297071129707113
240,1,16,22,1.3583333333333334
241,1,0,21,1.3526970954356847
242,1,0,20,1.3471074380165289
243,1,2,21,1.3497942386831276
244,1,0,20,1.3442622950819672
245,1,0,19,1.3387755102040817
246,1,0,18,1.3333333333333333
247,1,0,17,1.3279352226720649
248,1,0,16,1.3225806451612903
249,1,0,15,1.3172690763052208
250,1,1,15,1.316
251,1,0,14,1.3107569721115537
252,1,0,13,1.3055555555555556
253,1,1,13,1.3043478260869565
254,1,8,20,1.330708661417323
255,1,1,20,1.3294117647058823
256,1,0,19,1.32421875
257,1,8,26,1.350194552529183
258,1,0,25,1.3449612403100775
259,1,8,32,1.3706563706563706
260,1,0,31,1.3653846153846154
261,1,2,32,1.367816091954023
262,1,0,31,1.3625954198473282
263,1,1,31,1.361216730038023
264,1,2,32,1.3636363636363635
265,1,0,31,1.3584905660377358
266,2,16,45,1.413533834586466
267,2,0,43,1.408239700374532
268,2,0,41,1.4029850746268657
269,32,0,9,1.3977695167286246
270,2,4,11,1.4074074074074074
271,2,0,9,1.4022140221402215
272,1,0,8,1.3970588235294117
273,2,0,6,1.3919413919413919
274,1,1,6,1.3905109489051095
275,4,0,2,1.3854545454545455
276,2,0,0,1.3804347826086956
